<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.11.22	23:00:00	1.24948	1.24948	1.24938	1.24942	36	0	12
2023.11.22	23:05:00	1.24943	1.24965	1.24943	1.24949	38	0	12
2023.11.22	23:10:00	1.24940	1.24950	1.24932	1.24950	21	0	12
2023.11.22	23:15:00	1.24949	1.24951	1.24931	1.24948	40	0	13
2023.11.22	23:20:00	1.24946	1.24947	1.24941	1.24941	29	0	14
2023.11.22	23:25:00	1.24941	1.24947	1.24929	1.24943	38	0	7
2023.11.22	23:30:00	1.24943	1.24950	1.24941	1.24945	30	0	12
2023.11.22	23:35:00	1.24944	1.24951	1.24943	1.24947	24	0	15
2023.11.22	23:40:00	1.24946	1.24951	1.24942	1.24943	39	0	15
2023.11.22	23:45:00	1.24944	1.24944	1.24930	1.24942	43	0	18
2023.11.22	23:50:00	1.24944	1.24955	1.24935	1.24954	35	0	17
2023.11.22	23:55:00	1.24956	1.24956	1.24925	1.24928	48	0	18
2023.11.23	00:00:00	1.24899	1.24925	1.24829	1.24876	16	0	37
2023.11.23	00:05:00	1.24845	1.24951	1.24845	1.24946	32	0	25
2023.11.23	00:10:00	1.24946	1.24949	1.24876	1.24905	43	0	24
2023.11.23	00:15:00	1.24900	1.24940	1.24880	1.24904	44	0	19
2023.11.23	00:20:00	1.24932	1.24939	1.24904	1.24904	13	0	19
2023.11.23	00:25:00	1.24904	1.24940	1.24894	1.24904	16	0	19
2023.11.23	00:30:00	1.24929	1.24947	1.24904	1.24912	20	0	17
2023.11.23	00:35:00	1.24912	1.24942	1.24912	1.24914	15	0	17
2023.11.23	00:40:00	1.24914	1.24942	1.24903	1.24910	25	0	17
2023.11.23	00:45:00	1.24910	1.24942	1.24901	1.24902	33	0	17
2023.11.23	00:50:00	1.24904	1.24947	1.24904	1.24909	129	0	17
2023.11.23	00:55:00	1.24908	1.24954	1.24906	1.24954	67	0	17
2023.11.23	01:00:00	1.24953	1.24953	1.24912	1.24927	46	0	17
2023.11.23	01:05:00	1.24928	1.24928	1.24914	1.24914	32	0	17
2023.11.23	01:10:00	1.24921	1.24921	1.24913	1.24919	47	0	17
2023.11.23	01:15:00	1.24918	1.24928	1.24918	1.24922	43	0	17
2023.11.23	01:20:00	1.24919	1.24927	1.24916	1.24927	38	0	16
2023.11.23	01:25:00	1.24927	1.24927	1.24916	1.24920	39	0	17
2023.11.23	01:30:00	1.24920	1.24926	1.24918	1.24926	20	0	15
2023.11.23	01:35:00	1.24926	1.24926	1.24914	1.24918	31	0	17
2023.11.23	01:40:00	1.24913	1.24926	1.24909	1.24916	40	0	7
2023.11.23	01:45:00	1.24917	1.24917	1.24911	1.24915	30	0	17
2023.11.23	01:50:00	1.24917	1.24920	1.24892	1.24892	30	0	15
2023.11.23	01:55:00	1.24892	1.24894	1.24881	1.24884	36	0	14
2023.11.23	02:00:00	1.24884	1.24905	1.24884	1.24897	54	0	9
2023.11.23	02:05:00	1.24897	1.24918	1.24894	1.24912	57	0	12
2023.11.23	02:10:00	1.24913	1.24916	1.24906	1.24915	54	0	12
